id,year,section,user,amphitheatre,module,seat_block,seat_row,seat_column,latitude_mean,longitude_mean,accuracy_mean,gps_variance,is_outside,sample_count,raw_gps_readings,collection_metadata,navigator_context,screen_context,network_information,battery_status,timestamp,created_at,device_info,target_label,dist_Amphi_1,dist_Amphi_2,dist_Amphi_3,dist_Amphi_4,dist_Amphi_5,dist_Amphi_6,dist_Amphi_7,dist_Amphi_8,dist_nearest,dist_2nd,dist_gap,nearest_amphi,log_accuracy,accuracy_bin,high_accuracy_flag,has_seat,seat_block_enc,seat_row_filled,seat_column_filled,seat_zone_id,hour_of_day,hour_sin,hour_cos,label_enc
6027,3,,,Amphi 3,Manual Selection,Left,5.0,1.0,36.68838790466531,2.86625276215305,16.885629571120827,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:11:42.125000+00:00,2026-04-12 15:11:44.233766+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3,0.00045066997438818543,0.0002428927066943024,1.7244300902911725e-05,0.0001532659868075078,0.0004379973627369194,0.00022639602992637889,4.3201781092199955e-05,0.00014669154476987714,1.7244300902911725e-05,4.3201781092199955e-05,2.595748018928823e-05,Amphi 3,2.8839975731605363,0,1,1,0,5.0,1.0,501,15,-0.7071067811865471,-0.7071067811865479,2
2194,1,,,Amphi 2,Object Oriented Programming,Center,3.0,5.0,36.6883424,2.8664844,21.863000869750977,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:26:14.339000+00:00,2026-04-08 09:26:14.261377+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2,0.00022537207160681764,1.359800977577788e-05,0.00025312141915682235,0.00036292277590094837,0.0002064073906253223,1.1933499017115497e-05,0.0002006413014513978,0.0003687540950041539,1.1933499017115497e-05,1.359800977577788e-05,1.6645107586623825e-06,Amphi 6,3.129519921393946,0,1,1,1,3.0,5.0,305,9,0.7071067811865476,-0.7071067811865475,1
3036,1,,nasro,Outside,,,,,36.688351,2.8666611,7.129000186920166,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:25:55.038000+00:00,2026-04-08 20:48:31.841571+00:00,,Outside,6.156174797017464e-05,0.00016799933363495005,0.00042722636237556576,0.0005396692457062685,3.060724660847453e-05,0.00018496933186988167,0.0003767694623812801,0.0005456086679770552,3.060724660847453e-05,6.156174797017464e-05,3.095450136170011e-05,Amphi 5,2.095437937758674,0,1,0,3,-1.0,-1.0,-1,20,-0.8660254037844386,0.5000000000000001,8
4525,3,,,Amphi 5,Computer and Network Security,Center,3.0,3.0,36.6883847,2.8666962,13.864999771118164,0.0,False,1,[],{},{},{},{},{},2026-04-12 09:16:06.898000+00:00,2026-04-12 09:16:07.865197+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 5,1.3178956748592166e-05,0.0002055728386443328,0.000460684333250867,0.0005782792886181294,2.4287593150239686e-05,0.00022263409465418904,0.00041262813050535404,0.0005825635259038745,1.3178956748592166e-05,2.4287593150239686e-05,1.110863640164752e-05,Amphi 1,2.6990094410526955,0,1,1,1,3.0,3.0,303,9,0.7071067811865476,-0.7071067811865475,4
7224,3,,,Amphi 3,Manual Selection,Center,4.0,3.0,36.6883838,2.8662341,24.815000534057617,0.0,False,1,[],{},{},{},{},{},2026-04-13 08:24:49.890000+00:00,2026-04-13 08:24:52.042797+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",Amphi 3,0.0004694160634992916,0.0002608543511502287,5.018021720856551e-06,0.00013546450641364164,0.0004564049171259208,0.0002442425650631406,5.631257165220615e-05,0.00012782330609310813,5.018021720856551e-06,5.631257165220615e-05,5.12945499313496e-05,Amphi 3,3.250955739019492,0,1,1,1,4.0,3.0,403,8,0.8660254037844387,-0.4999999999999998,2
1222,1,,,Amphi 2,Object Oriented Programming,Center,1.0,3.0,36.6883368,2.8664684,13.980999946594238,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:20:34.847000+00:00,2026-04-08 09:20:36.292106+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Amphi 2,0.00024224867569848195,2.946110915124987e-05,0.00023856149922485154,0.00034646254305670775,0.0002228895946493905,1.617136683631345e-05,0.00018526920899852265,0.00035269359109235356,1.617136683631345e-05,2.946110915124987e-05,1.3289742314936419e-05,Amphi 6,2.7067827279703454,0,1,1,1,1.0,3.0,103,9,0.7071067811865476,-0.7071067811865475,1
1172,1,,,Amphi 2,Object Oriented Programming,Center,3.0,5.0,36.6883423,2.8664599,16.281999588012695,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:20:25.245000+00:00,2026-04-08 09:20:26.033523+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2,0.0002492643592376905,3.4843672364577085e-05,0.0002290969993847171,0.0003385456935786754,0.00023082421742113933,1.8417163539030398e-05,0.0001762403374508144,0.000344256586001855,1.8417163539030398e-05,3.4843672364577085e-05,1.6426508825546687e-05,Amphi 6,2.8496654735801084,0,1,1,1,3.0,5.0,305,9,0.7071067811865476,-0.7071067811865475,1
3414,1,,ayoub,Amphi 6,,,,,36.68833227502028,2.866578512779121,21.68317301241282,0.0,False,1,[],{},{},{},{},{},2026-04-12 07:27:27.006000+00:00,2026-04-12 07:28:38.685273+00:00,,Amphi 6,0.00014006544183041154,8.78435644476255e-05,0.0003475761640117457,0.00045595587467422706,0.00011513450669079766,0.00010408105683232043,0.00029527391332980575,0.0004628163835192023,8.78435644476255e-05,0.00010408105683232043,1.6237492384694934e-05,Amphi 2,3.121623372619502,0,1,0,3,-1.0,-1.0,-1,7,0.9659258262890683,-0.25881904510252063,5
5479,3,,,Amphi 5,Computer and Network Security,Left,10.0,3.0,36.6883414,2.8666967,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-12 12:17:19.541000+00:00,2026-04-12 12:17:18.795072+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 5,5.476886459316565e-05,0.0002039104950725919,0.0004635778321384229,0.0005744778116192537,2.09496427189774e-05,0.00022077831512681576,0.0004126490888183846,0.0005810204304396233,2.09496427189774e-05,5.476886459316565e-05,3.381922187418825e-05,Amphi 5,3.044522437723423,0,1,1,0,10.0,3.0,1003,12,1.2246467991473532e-16,-1.0,4
2774,1,,nasro,Outside,,,,,36.6884082,2.8669067,29.88999938964844,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:03:48.897000+00:00,2026-04-08 20:48:31.831368+00:00,,Outside,0.0002037164326390926,0.0004172776089648929,0.0006714536021377132,0.0007900360425979641,0.00022178392603065556,0.00043435163979400903,0.000624277139907019,0.0007943153823579824,0.0002037164326390926,0.00022178392603065556,1.806749339156296e-05,Amphi 1,3.430432487171618,0,1,0,3,-1.0,-1.0,-1,20,-0.8660254037844386,0.5000000000000001,8
